Brand,Model,Fuel Type,Fuel Consumption,Engine volume (L),Power (PS),Torque (N*m),0-100 km/h (s),Max speed (km/h),Length (mm),Width (mm),Height (mm),Weight (kg)
Nissan,2.2 DTI (126 Hp),Diesel,7.9,2.184,126,280,10.9,198,4565,1760,1480,1450
Nissan,1.6 i 16V (109 Hp),Petrol (Gasoline),9.3,1.596,109,146,12.6,190,4565,1760,1480,1300
Nissan,1.8 i 16V (116 Hp),Petrol (Gasoline),9.6,1.769,116,163,11.9,194,4565,1760,1480,1300
Nissan,1.9 dCi (120 Hp),Diesel,7.3,1.87,120,270,11.0,195,4565,1760,1480,1440
Nissan,2.0 i 16V (140 Hp),Petrol (Gasoline),11.7,1.998,140,192,9.6,204,4565,1760,1480,1350
Nissan,2.2 dCi (138 Hp),Diesel,8.1,2.184,138,314,10.0,203,4565,1760,1480,1450
Nissan,2.2 DTI (126 Hp),Diesel,7.9,2.184,126,280,10.9,198,4565,1760,1480,1450
Nissan,1.6 i 16V (109 Hp),Petrol (Gasoline),9.3,1.596,109,146,12.6,190,4675,1760,1480,1325
Nissan,1.8 i 16V (116 Hp),Petrol (Gasoline),9.6,1.769,116,163,11.98,194,4675,1760,1480,1345
Nissan,1.9 dCi (120 Hp),Diesel,7.3,1.87,120,270,11.1,195,4675,1760,1480,1465
Nissan,2.0 i 16V (140 Hp),Petrol (Gasoline),11.7,1.998,140,192,9.6,204,4675,1760,1480,1385
Nissan,2.2 dCi (138 Hp),Diesel,8.1,2.184,138,314,10.1,203,4675,1760,1480,1475
Nissan,1.6 16V (99 Hp),Petrol (Gasoline),9.3,1.597,99,136,12.0,180,4430,1715,1410,1090
Nissan,1.8 16V (114 Hp),Petrol (Gasoline),9.8,1.769,114,158,11.0,196,4522,1715,1410,1250
Nissan,2.0 16V (115 Hp),Petrol (Gasoline),10.7,1.998,115,166,9.6,205,4430,1715,1410,1205
Nissan,2.0 16V (130 Hp),Petrol (Gasoline),10.7,1.998,130,173,9.6,205,4430,1715,1410,1205
Nissan,2.0 16V (140 Hp),Petrol (Gasoline),12.1,1.998,140,181,11.5,202,4522,1715,1410,1380
Nissan,2.0 16V (150 Hp) GT,Petrol (Gasoline),10.9,1.998,150,181,8.6,218,4430,1715,1410,1345
Nissan,2.0 TD (90 Hp),Diesel,8.6,1.974,90,177,14.0,175,4430,1715,1410,1260
Nissan,1.6 16V (99 Hp),Petrol (Gasoline),9.3,1.597,99,136,12.0,180,4430,1715,1410,1185
Nissan,1.8 16V (114 Hp),Petrol (Gasoline),9.9,1.769,114,158,11.0,196,4430,1715,1410,1250
Nissan,2.0 16V (115 Hp),Petrol (Gasoline),10.7,1.998,115,166,9.6,205,4430,1715,1410,1220
Nissan,2.0 16V (130 Hp),Petrol (Gasoline),10.7,1.998,130,173,9.6,205,4430,1715,1410,1220
Nissan,2.0 16V (140 Hp),Petrol (Gasoline),12.5,1.998,140,181,9.0,210,4430,1715,1410,1270
Nissan,2.0 16V (150 Hp),Petrol (Gasoline),10.9,1.998,150,181,8.6,218,4522,1715,1410,1260
Nissan,2.0 TD (90 Hp),Diesel,8.4,1.974,90,177,14.0,175,4522,1715,1410,1335
Nissan,1.6 16V (99 Hp),Petrol (Gasoline),9.9,1.597,99,136,12.8,176,4516,1715,1450,1270
Nissan,1.8 16V (114 Hp),Petrol (Gasoline),9.9,1.769,114,158,11.7,191,4579,1715,1450,1310
Nissan,2.0 16V (140 Hp),Petrol (Gasoline),11.4,1.998,140,181,10.5,205,4579,1715,1450,1335
Nissan,2.0 TD (90 Hp),Diesel,8.1,1.974,90,177,14.6,170,4579,1715,1450,1395
Nissan,1.6 (90 Hp),Petrol (Gasoline),9.8,1.597,90,136,11.9,180,4400,1700,1390,1151
Nissan,2.0 GT (150 Hp),Petrol (Gasoline),11.6,1.998,150,181,8.4,220,4400,1700,1390,1249
Nissan,2.7 i TDi (3 dr) (125 Hp),Diesel,11.8,2.663,125,278,15.7,155,4185,1755,1830,1745
Nissan,2.7 i TDi (5 dr) (125 Hp),Diesel,11.9,2.663,125,278,16.7,155,4665,1755,1850,1875
Nissan,2.7 TD (3 dr) (100 Hp),Diesel,12.0,2.663,100,221,19.0,145,4105,1735,1805,1730
Nissan,3.0 TDi 16V (3 dr) (154 Hp),Diesel,11.3,2.953,154,304,13.3,170,4217,1755,1830,1760
Nissan,3.0 TDi 16V (5 dr) (154 Hp),Diesel,11.3,2.953,154,304,13.3,170,4697,1755,1850,1950
Nissan,2.7 TD 4WD (99 Hp),Diesel,10.0,2.663,99,216,18.0,150,4365,1690,1680,1670
Nissan,3.0 i 4WD (148 Hp),Petrol (Gasoline),15.4,2.96,148,239,12.6,166,4365,1690,1680,1835
Nissan,2.0 V6 24V (140 Hp),Petrol (Gasoline),12.3,1.995,140,177,11.3,203,4920,1780,1435,1490
Nissan,3.0 V6 24V (200 Hp),Petrol (Gasoline),13.1,2.988,200,271,8.2,230,4920,1780,1435,1500
Nissan,2.0 (90 Hp),Petrol (Gasoline),13.2,1.974,90,177,11.3,201,4770,1770,1420,1310
Nissan,2.0 (140 Hp),Petrol (Gasoline),12.3,1.995,140,177,11.3,201,4770,1770,1415,1431
Nissan,3.0 (193 Hp),Petrol (Gasoline),12.1,2.988,193,255,8.3,230,4770,1770,1415,1468
Nissan,2.0 (140 Hp),Petrol (Gasoline),10.9,1.995,140,177,11.3,201,4800,1770,1450,1440
Nissan,2.5 V6 24V (190 Hp),Petrol (Gasoline),14.0,2.496,190,235,11.3,210,4800,1770,1450,1450
Nissan,3.0 (193 Hp),Petrol (Gasoline),12.1,2.988,193,255,8.3,230,4800,1770,1450,1460
Nissan,1.6 i (110 Hp),Petrol (Gasoline),8.9,1.596,110,147,11.1,186,4295,1695,1535,1278
Nissan,1.6 i (110 Hp) Automatic,Petrol (Gasoline),8.9,1.596,110,147,11.1,186,4295,1695,1535,1278
Nissan,1.6 i (110 Hp),Petrol (Gasoline),8.9,1.596,110,147,11.1,186,4295,1695,1535,1278
Nissan,1.6 i (110 Hp) Automatic,Petrol (Gasoline),8.9,1.596,110,147,11.1,186,4295,1695,1535,1278
Nissan,1.0 i 16V (65 Hp),Petrol (Gasoline),7.1,0.998,65,89,15.7,154,3715,1660,1525,940
Nissan,1.2 i 16V (65 Hp),Petrol (Gasoline),7.4,1.24,65,110,16.3,154,3715,1660,1525,980
Nissan,1.2 i 16V (80 Hp),Petrol (Gasoline),7.4,1.24,80,110,13.9,167,3715,1660,1525,970
Nissan,1.2 i 16V (80 Hp) Automatic,Petrol (Gasoline),8.2,1.24,80,110,17.9,145,3715,1660,1525,970
Nissan,1.4 i 16V (88 Hp),Petrol (Gasoline),7.9,1.386,88,128,11.9,172,3715,1660,1525,975
Nissan,1.4 i 16V (88 Hp) Automatic,Petrol (Gasoline),8.6,1.386,88,128,15.0,158,3715,1660,1525,975
